,Bayesian CNN,Classical CNN,epoch
0,23.411560420704102,23.750514311926576,1
1,23.849669290029432,23.92181337753821,2
2,24.023931841518568,23.99166962610223,3
3,24.128366544647733,24.07868918087563,4
4,24.110976233322525,24.160591354678456,5
5,24.215320859707365,24.12719237386397,6
6,24.27556727836683,24.25044088682063,7
7,24.298487228603694,24.256260957343272,8
8,24.32574471642186,24.307859652016052,9
9,24.350221118807454,24.31940033451437,10
10,24.36207192624662,24.368899393068112,11
11,24.380883079270145,24.37094636856879,12
12,24.396362772840757,24.372976151947025,13
13,24.41489721017593,24.325915778755764,14
14,24.35692092471404,24.382157295199786,15
15,24.4502727345102,24.4031492840456,16
16,24.45012354646643,24.396130422612597,17
17,24.460576991897682,24.434940937519208,18
18,24.437573374423245,24.434785115425203,19
19,24.487385215525556,24.45705307395778,20
20,24.4935914086928,24.443586761465617,21
21,24.47756281981894,24.46155886284139,22
22,24.479893661395426,24.3957502155365,23
23,24.435778767219176,24.44129477467126,24
24,24.51249660647122,24.4768069557394,25
25,24.51565631471434,24.500094713594407,26
26,24.49358890094615,24.464245779495254,27
27,24.523954643600245,24.494299098961893,28
28,24.52997811343237,24.509842428654846,29
29,24.508480725147393,24.498729348146306,30
