,Bayesian CNN,Classical CNN,epoch
0,0.009110942533032762,0.006227604360112713,1
1,0.004491936809693773,0.004300242360526075,2
2,0.004171024559841802,0.004165440435986966,3
3,0.004055910783354193,0.00406727945843401,4
4,0.003973480637909637,0.004023230265670767,5
5,0.00392329072786702,0.003996456237975508,6
6,0.003891957512177113,0.003909212570352894,7
7,0.003852938293789824,0.0038956490768533615,8
8,0.0038409319756449096,0.003862675197577725,9
9,0.0038068040904795956,0.003841924979713642,10
10,0.0037841497572242387,0.0038110144334690026,11
11,0.0037767926329332923,0.003804114861982978,12
12,0.003756902223918587,0.003782843153665049,13
13,0.0037408519121818243,0.003774900266021076,14
14,0.0037415836208706927,0.0037586536725672582,15
15,0.0037168210976653627,0.0037458287104188154,16
16,0.003706926121842116,0.003742437817208055,17
17,0.0037028880913534926,0.00373495758143771,18
18,0.0036920882446380954,0.00372228508336573,19
19,0.003691066533120142,0.003715616932656202,20
20,0.0036772738846743273,0.0037092983432424564,21
21,0.003673302924570938,0.003698210344856812,22
22,0.0036651837652445667,0.0036904485147032473,23
23,0.0036625403964426367,0.0036961475076257356,24
24,0.0036562791379789513,0.0036809076183579033,25
25,0.0036541501445074877,0.003678975703815619,26
26,0.003648232913058665,0.0036692371426874566,27
27,0.003647554215017913,0.0036770359403453766,28
28,0.0036339472274606426,0.00367839680883723,29
29,0.0036396531376263336,0.0036523391764817967,30
