,Bayesian CNN,Classical CNN
0,56.475802421569824,15.318554162979126
1,50.35903549194336,16.32751965522766
2,50.529796838760376,16.456642150878906
3,51.1777765750885,16.40878915786743
4,50.04766321182251,16.14196276664734
5,50.698753356933594,15.895397901535034
6,49.87567710876465,16.600359201431274
7,51.693939208984375,19.494069814682007
8,49.52620220184326,18.122736930847168
9,51.36206603050232,19.305956602096558
10,50.253753423690796,17.938352346420288
11,49.99657106399536,18.150084018707275
12,50.06835198402405,17.71794581413269
13,50.56065058708191,16.96040678024292
14,50.830249309539795,17.838667631149292
15,49.99421954154968,16.869481563568115
16,51.79654145240784,16.84002447128296
17,50.68483114242554,16.32859992980957
18,50.57473301887512,16.21526837348938
19,50.761056900024414,16.240474939346313
20,50.19354057312012,16.534291744232178
21,49.76636552810669,16.60750460624695
22,50.892218351364136,16.469125509262085
23,50.5362491607666,16.619584560394287
24,50.30327653884888,16.65947437286377
25,49.87793755531311,16.930969953536987
26,49.84418725967407,16.83322024345398
27,50.44518804550171,16.35201096534729
28,50.8528687953949,17.469969034194946
29,50.14193797111511,16.36088252067566
