,Bayesian CNN,epoch
0,0.21450287595391274,1
1,0.12496639057993889,2
2,0.08610369518399238,3
3,0.042570529505610466,4
4,0.014945155223831535,5
5,0.012992258109152317,6
6,0.012162872292101383,7
7,0.011595594380050898,8
8,0.011132239177823067,9
9,0.010741476500406862,10
10,0.01034174364991486,11
11,0.009899684572592377,12
12,0.009496291186660528,13
13,0.009120537526905536,14
14,0.00871928277425468,15
15,0.008554518176242708,16
16,0.008158487593755126,17
17,0.007824836634099483,18
18,0.0076237333985045555,19
19,0.007448024800978601,20
20,0.00717420713044703,21
21,0.007013970706611872,22
22,0.00681136320810765,23
23,0.006580570708028972,24
24,0.00641705330926925,25
25,0.00634118590503931,26
26,0.006128028519451618,27
27,0.006032042317092419,28
28,0.005907507687807083,29
29,0.006061856988817453,30
