,Bayesian CNN,epoch
0,8.527600131996797,1
1,9.9817695534257,2
2,11.05298331486983,3
3,17.37483346697526,4
4,18.377773316847104,5
5,18.728976297071725,6
6,18.96047930293765,7
7,19.143238691038267,8
8,19.313703605843003,9
9,19.429817631130607,10
10,19.670915992614965,11
11,19.79018730325524,12
12,19.971792871461098,13
13,20.21752066127068,14
14,20.37860373325808,15
15,20.493463583751343,16
16,20.6930869862188,17
17,20.820407588591987,18
18,20.951356805525766,19
19,20.96886533856069,20
20,21.202949126817106,21
21,21.24773404202683,22
22,21.412222591434716,23
23,21.510168068648746,24
24,21.643775436105376,25
25,21.742797177752074,26
26,21.84805089943707,27
27,21.9285752192991,28
28,21.893919261717812,29
29,21.77756894070527,30
