,Bayesian CNN,Classical CNN
0,7.5376975536346436,4.854475021362305
1,7.236029624938965,4.86285924911499
2,7.074900150299072,4.790315389633179
3,7.0550758838653564,4.833021879196167
4,7.476412773132324,4.792753458023071
5,6.888343095779419,4.879262924194336
6,6.75164270401001,4.9385645389556885
7,6.875993251800537,4.958607196807861
8,6.809250116348267,4.834153652191162
9,7.432645082473755,4.843186378479004
10,6.89658522605896,4.880898714065552
11,6.710441589355469,5.163631439208984
12,6.651313781738281,5.025726079940796
13,6.7621612548828125,6.06860089302063
14,6.766272068023682,5.258525371551514
15,7.23024582862854,4.963443994522095
16,7.168016195297241,5.018133878707886
17,8.223177671432495,5.735290050506592
18,9.007959604263306,5.920650959014893
19,7.50079083442688,5.26941442489624
20,7.322138786315918,6.636156797409058
21,7.487528085708618,5.870290040969849
22,7.513580560684204,5.106089353561401
23,7.293365001678467,5.076070547103882
24,7.510539293289185,5.32189416885376
25,7.4295594692230225,4.825573921203613
26,8.752973556518555,5.108986854553223
27,8.800601482391357,5.211468696594238
28,8.283341407775879,5.9781410694122314
29,8.876636505126953,6.135443210601807
30,7.787126779556274,6.21638298034668
31,6.828422546386719,6.261115550994873
32,7.911386728286743,6.234029293060303
33,8.36936354637146,5.127371549606323
34,8.720377206802368,5.079409599304199
35,7.5580408573150635,5.2818896770477295
36,7.940479278564453,5.862262487411499
37,7.712670087814331,5.72066855430603
38,7.817352771759033,5.4791436195373535
39,8.188184022903442,6.212927341461182
40,7.865541219711304,6.575934171676636
41,7.64120888710022,6.60540771484375
42,7.251290798187256,6.709676265716553
43,7.4693732261657715,7.023386001586914
44,7.311578750610352,5.8905065059661865
45,7.265320777893066,5.773634433746338
46,7.152121305465698,5.954076051712036
47,7.191066741943359,5.732302188873291
48,7.2545671463012695,6.785773038864136
49,7.119265794754028,6.001149892807007
50,7.401390314102173,5.456921815872192
51,7.23981237411499,6.799548625946045
52,7.23027491569519,5.74681830406189
53,7.167631387710571,5.922342300415039
54,7.154230356216431,5.75413703918457
55,7.1471335887908936,6.2993080615997314
56,7.365259170532227,7.159399509429932
57,8.0232412815094,6.7658021450042725
58,7.753894567489624,5.641097784042358
59,8.613388776779175,5.207959175109863
60,7.077441930770874,5.0196943283081055
61,7.5517497062683105,6.44736385345459
62,8.730141878128052,6.228844165802002
63,7.785508394241333,6.003428220748901
64,6.6922876834869385,6.875523090362549
65,6.785775184631348,6.3600311279296875
66,6.965309381484985,6.202047824859619
67,8.361664533615112,5.285442113876343
68,8.666813611984253,6.655566692352295
69,7.783914804458618,6.640769958496094
70,9.781824827194214,5.06812047958374
71,7.893376588821411,5.168383598327637
72,7.319464445114136,5.1026694774627686
73,8.559268712997437,4.9807844161987305
74,7.680744886398315,4.9369049072265625
75,7.647853851318359,5.278138875961304
76,7.7275612354278564,4.957149505615234
77,8.067180156707764,5.092840194702148
78,8.089211702346802,4.885943174362183
79,7.350138425827026,5.126802682876587
80,8.717056035995483,5.021814346313477
81,7.902021646499634,5.024712085723877
82,6.8923351764678955,4.849406719207764
83,8.529656171798706,4.996894598007202
84,7.395380973815918,5.399661540985107
85,7.977333068847656,5.429909706115723
86,7.825632333755493,5.13408350944519
87,8.885875701904297,5.693988084793091
88,7.123687267303467,4.923252820968628
89,6.731677055358887,5.9969799518585205
90,6.707228660583496,5.444063663482666
91,6.709697484970093,5.2557220458984375
92,6.725536108016968,5.602070093154907
93,6.6820080280303955,5.243649482727051
94,6.636449575424194,5.008849859237671
95,6.738020658493042,6.028656005859375
96,6.657397508621216,5.630401849746704
97,6.676490545272827,5.960274934768677
98,6.663996934890747,5.164365530014038
99,6.6220667362213135,6.5530054569244385
