,Bayesian CNN,Classical CNN,epoch
0,0.0758465570025146,0.02990528766065836,1
1,0.011649000486359,0.006108758845366538,2
2,0.008075433056801558,0.004487147396430373,3
3,0.006604688134975731,0.003931819933932275,4
4,0.005817578150890767,0.0037469704216346145,5
5,0.005334828128106892,0.0036049894196912647,6
6,0.004966472391970456,0.00353771633701399,7
7,0.004696888052858412,0.0034777786489576103,8
8,0.004494757857173681,0.0035498871095478533,9
9,0.004304745723493398,0.003429070822894573,10
10,0.004304425539448858,0.003398962204810232,11
11,0.00415069604292512,0.003342032586224377,12
12,0.00400026913266629,0.0033628166024573147,13
13,0.003933156277053058,0.0033117082086391745,14
14,0.0038840933167375623,0.0032883838028647007,15
15,0.003833997331093997,0.003279965842375532,16
16,0.003772153884638101,0.0033494883263483644,17
17,0.003800799469463527,0.0034250603592954577,18
18,0.00371365571860224,0.0033045500493608417,19
19,0.0036739870859310033,0.0032420263753738256,20
20,0.003651779277715832,0.0032385796308517455,21
21,0.0036570523283444346,0.0033557330328039827,22
22,0.003568430372979492,0.0035505914967507123,23
23,0.0035471401666291058,0.003226177452597767,24
24,0.0035720670851878823,0.0032203820766881107,25
25,0.0034942468581721188,0.0032171032670885325,26
26,0.0034718740987591448,0.0032075391442049294,27
27,0.0035259430250152947,0.0031937903130892665,28
28,0.003469868595711887,0.003184082475490868,29
29,0.003430297519080341,0.0032977641047909857,30
30,0.003397662122733891,0.003245689304312691,31
31,0.0033877267059870065,0.0033861142257228492,32
32,0.00339165671961382,0.003188244563061744,33
33,0.003391103968024254,0.003168426554184407,34
34,0.0033471171278506517,0.0031636090017855166,35
35,0.003344939479138702,0.003208767835749313,36
36,0.0033269535133149475,0.003159589464776218,37
37,0.0033041297015734016,0.0031417830591090024,38
38,0.003311210609972477,0.0031387899280525744,39
39,0.0032838602992706,0.003152344417758286,40
40,0.003278132639825344,0.00315236943308264,41
41,0.003274034245405346,0.00313803328666836,42
42,0.00328286248492077,0.0033078242116607727,43
43,0.003303088180255145,0.003626788757974282,44
44,0.003345690299756825,0.0031345127383247016,45
45,0.003248882789630443,0.003120144752319902,46
46,0.003219104077434167,0.0031096606329083444,47
47,0.003214935325086117,0.0031021839031018317,48
48,0.0033826604625210167,0.003101225856225938,49
49,0.0032437019469216464,0.0030951728706713768,50
50,0.003189543525222689,0.003111799752805382,51
51,0.003197368469554931,0.0031034900061786175,52
52,0.0031858791096601637,0.0030982552794739603,53
53,0.0031677698134444654,0.0030973305087536574,54
54,0.0031627437379211187,0.003095893556019291,55
55,0.00315596112748608,0.00308503485750407,56
56,0.0031490162946283817,0.003274338934570551,57
57,0.003145529010798782,0.0030765952332876623,58
58,0.003155010133050382,0.0030677171610295774,59
59,0.0032138704555109143,0.0030728293186984956,60
60,0.0031714397110044956,0.00309695374337025,61
61,0.003130461557302624,0.003219716923777014,62
62,0.0031206467980518936,0.003096583096776158,63
63,0.003117657431866974,0.003079582094214857,64
64,0.003309746291488409,0.0030987304355949165,65
65,0.0031595490220934154,0.0030625455919653178,66
66,0.0031090313964523375,0.0030582550633698703,67
67,0.003101057929452509,0.003052291451022029,68
68,0.003096941236872226,0.0032035490428097544,69
69,0.0030928453151136638,0.0032563982252031567,70
70,0.0030906118219718335,0.003152171375695616,71
71,0.0030848262435756624,0.0030558212962932883,72
72,0.00307741804048419,0.00303679394768551,73
73,0.0030761790624819698,0.003031745180487633,74
74,0.003071203730069101,0.0030318420100957154,75
75,0.0030969701148569583,0.003023970185313374,76
76,0.0030777774448506536,0.003032401807140559,77
77,0.003060997740831226,0.0030278069945052265,78
78,0.0030587139376439154,0.00302427529823035,79
79,0.0030534551304299386,0.003092830707319081,80
80,0.0030498499097302554,0.0030276393599342555,81
81,0.003045626045204699,0.003089667328167707,82
82,0.0030592100054491313,0.0030987759376876057,83
83,0.0030494863423518835,0.003066910826601088,84
84,0.0030385053006466477,0.0030172773147933186,85
85,0.0030444893799722195,0.003020268203690648,86
86,0.0030638916057068853,0.0030204694042913617,87
87,0.003052956881001592,0.0030393972573801876,88
88,0.0031259008357301353,0.0031202326971106233,89
89,0.0030401749699376524,0.0029995228326879443,90
90,0.0030247040628455578,0.0030009709484875202,91
91,0.0030194737180136142,0.002993017419939861,92
92,0.003015905839856714,0.0030298567574936898,93
93,0.003022561720572412,0.0031703977775759994,94
94,0.0030162473279051485,0.0033358648081775757,95
95,0.003016833292786032,0.0030673820222727956,96
96,0.003023149610962719,0.0029839550354517994,97
97,0.0030200604419223964,0.0029822135251015426,98
98,0.0030167283583432437,0.0029790370282717048,99
99,0.0029995974176563324,0.002975322192069143,100
